【あみあみ限定特典】【特典】FLOWERKNIGHTGIRLオンシジューム1/7完成品フィギュア[プラム]《０９月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-018280,発売日,１６年０９月未定,ブランド名,ピーエムオフィスエー,PLUM(プラム),原作名,フラワーナイトガール,キャラ名,オンシジューム,
ワルキューレロマンツェ[少女騎士物語]スィーリア-スク水・日焼けVer.-1/6完成品フィギュア[A＋]《０６月予約※暫定》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-018292,発売日,１６年０６月未定,ブランド名,A＋(エイプラス),原作名,ワルキューレ・ロマンツェ,キャラ名,スィーリア・クマーニ・エイントリー,造型師,
E☆2(えつ)オリジナルキャラクターミミillustratedbyカントク1/7完成品フィギュア[オーキッドシード]《０９月予約》,商品コード,FIGURE-018363,発売日,１６年０９月未定,ブランド名,オーキッドシード,原作名,E☆2(えつ),キャラ名,ミミ,造型師,りぶん, ,
ClosedGAMEセリシア・ロックハート1/6完成品フィギュア[DRAGONToy]《０９月予約》,商品コード,FIGURE-018377,発売日,１６年０９月未定,ブランド名,DRAGON Toy(ドラゴントイ),原作名,Closed GAME,キャラ名,セシリア・ロックハート,造型師,ひろまん, ,
1/35ガールズ＆パンツァー劇場版継続高校フィギュアセット未塗装キット[プラッツ/RCベルグ]《０６月予約》,商品コード,FIGURE-018381,発売日,１６年０６月未定,ブランド名,Platz(プラッツ),RCベルグ(アールシーベルグ),原作名,ガールズ＆パンツァー 劇場版,ガールズ＆パンツァー,『ガールズ＆パンツァー』シリーズ,キャラ名,ミッコ,
1/35ガールズ＆パンツァー劇場版大学選抜チームフィギュアセット未塗装キット[プラッツ/RCベルグ]《０７月予約》,商品コード,FIGURE-018382,発売日,１６年０７月未定,ブランド名,Platz(プラッツ),RCベルグ(アールシーベルグ),原作名,ガールズ＆パンツァー 劇場版,ガールズ＆パンツァー,『ガールズ＆パンツァー』シリーズ,キャラ名,島田愛里寿,
いけないビキニのおねーさん笹木冴子流通限定1/6完成品フィギュア(宮沢模型流通限定)[ダイキ工業]《０８月予約》,商品コード,FIGURE-018396,発売日,１６年０８月未定,ブランド名,ダイキ工業,原作名,いけないビキニのおねーさん,キャラ名,笹木冴子,造型師,シュンゾー, ,
蒼の彼方のフォーリズム鳶沢みさき水着ver.1/7完成品フィギュア[回天堂]《０７月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-018509,発売日,１６年０７月未定,ブランド名,マベル,回天堂,原作名,蒼の彼方のフォーリズム,キャラ名,鳶沢みさき,
【あみあみ限定特典】蒼の彼方のフォーリズム鳶沢みさき水着ver.1/7完成品フィギュア[回天堂]《０７月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-018510,発売日,１６年０７月未定,ブランド名,マベル,回天堂,原作名,蒼の彼方のフォーリズム,キャラ名,鳶沢みさき,
朧村正弓弦葉1/8完成品フィギュア[アルター]《１０月予約》,商品コード,FIGURE-018539,発売日,１６年１０月未定,ブランド名,ALTER(アルター),原作名,朧村正,キャラ名,弓弦葉,造型師,たなか☆せんう, ,
THESEXSWEEPERS新条アキノ1/6完成品フィギュア[Q-six]《０８月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-018577,発売日,１６年０８月未定,ブランド名,Q-six(キューシックス),原作名,THE SEX SWEEPERS,キャラ名,新条アキノ,造型師,
THESEXSWEEPERS新条アキノ日焼けver.1/6完成品フィギュア[Q-six]《０８月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-018578,発売日,１６年０８月未定,ブランド名,Q-six(キューシックス),原作名,THE SEX SWEEPERS,キャラ名,新条アキノ,造型師,
